Order_ID,Order_Date,Region,Category,Customer_Type,Payment_Method,Quantity,Unit_Price,Discount,Sales,Delivery_Days,Customer_Satisfaction
ORD10001,2025-08-08,South,Office Supplies,Returning,UPI,3,2543.0,0.2,6103.2,4,4.9
ORD10002,2025-06-12,West,Office Supplies,Returning,Credit Card,3,1987.09,0.2,4769.02,5,4.3
ORD10003,2025-08-08,West,Furniture,New,Cash,1,21806.52,0.0,21806.52,7,5.0
ORD10004,2025-09-27,East,Clothing,New,Debit Card,7,3964.95,0.15,23591.45,6,3.9
ORD10005,2025-04-30,North,Office Supplies,New,Debit Card,5,643.79,0.1,2897.06,3,3.7
ORD10006,2025-12-02,North,Electronics,New,Debit Card,7,28841.55,0.2,162712.68,4,4.3
ORD10007,2025-07-01,North,Clothing,Returning,Debit Card,2,6235.01,0.1,11223.02,4,3.6
ORD10008,2025-04-16,West,Clothing,Returning,Debit Card,5,322.19,0.15,1369.31,4,5.0
ORD10009,2025-08-05,East,Clothing,Returning,UPI,5,6913.97,0.1,31112.86,5,4.7
ORD10010,2025-07-24,East,Office Supplies,Returning,Credit Card,6,1011.51,0.1,5462.15,1,4.4
ORD10011,2025-03-11,North,Office Supplies,Returning,UPI,1,2805.14,0.0,2805.14,6,3.9
ORD10012,2025-02-13,West,Furniture,Returning,Cash,7,11095.98,0.15,66021.08,8,3.5
ORD10013,2025-11-25,West,Clothing,Returning,Cash,7,5841.33,0.1,36800.38,4,4.4
ORD10014,2025-10-28,North,Clothing,New,UPI,1,3157.94,0.1,2842.15,4,2.9
ORD10015,2025-08-16,North,Electronics,New,Debit Card,7,39243.53,0.15,234699.0,5,5.0
ORD10016,2025-07-03,North,Electronics,New,Cash,1,33087.94,0.1,30979.15,6,3.7
ORD10017,2025-04-17,South,Furniture,Returning,UPI,6,16615.57,0.05,94708.75,4,4.0
ORD10018,2025-03-25,South,Clothing,Returning,Credit Card,4,6431.05,0.1,23151.78,6,3.1
ORD10019,2025-12-04,South,Clothing,New,Cash,5,6105.98,0.1,27476.91,5,4.4
ORD10020,2025-09-07,North,Electronics,Returning,UPI,6,2388.49,0.1,14097.85,9,3.4
ORD10021,2025-12-29,East,Office Supplies,New,Debit Card,3,95000.0,0.0,285000.0,4,4.3
ORD10022,2025-01-21,North,Furniture,Returning,UPI,2,23353.21,0.05,44371.1,1,4.4
ORD10023,2025-07-15,North,Clothing,New,Cash,4,1268.08,0.05,4818.7,2,3.3
ORD10024,2025-06-27,South,Clothing,New,Cash,3,5975.64,0.15,15237.88,5,2.9
ORD10025,2025-01-07,South,Clothing,Returning,Cash,5,7804.36,0.0,39021.8,6,5.0
ORD10026,2025-03-11,West,Furniture,New,Credit Card,7,2442.33,0.1,15386.68,3,3.6
ORD10027,2025-05-07,North,Furniture,New,Cash,1,17436.21,0.2,13948.97,4,4.0
ORD10028,2025-06-09,South,Electronics,New,Debit Card,5,21492.41,0.0,108662.05,6,4.2
ORD10029,2025-09-05,East,Electronics,Returning,UPI,6,26399.55,0.1,143757.57,3,2.8
ORD10030,2025-07-22,North,Clothing,Returning,Debit Card,2,957.13,0.15,1627.12,3,4.2
ORD10031,2025-05-28,East,Clothing,New,UPI,6,631.15,0.2,3029.52,2,3.9
ORD10032,2025-05-23,North,Clothing,Returning,Credit Card,4,5434.87,0.15,18478.56,7,3.3
ORD10033,2025-07-18,North,Clothing,Returning,UPI,4,6639.48,0.15,22574.23,7,2.9
ORD10034,2025-06-03,West,Office Supplies,New,UPI,2,3931.88,0.15,6684.2,2,4.3
ORD10035,2025-05-22,West,Clothing,New,UPI,3,4487.3,0.1,12115.71,4,4.7
ORD10036,2025-11-09,West,Clothing,New,Debit Card,3,1068.97,0.15,2725.87,7,3.9
ORD10037,2025-06-14,South,Clothing,New,UPI,4,5597.94,0.0,22391.76,5,2.7
ORD10038,2025-11-10,North,Electronics,Returning,Debit Card,4,11491.49,0.2,37972.77,4,3.0
ORD10039,2025-01-21,East,Furniture,New,UPI,7,22883.44,0.1,144165.67,2,3.5
ORD10040,2025-03-23,South,Electronics,Returning,UPI,1,37851.33,0.1,35266.2,7,5.0
ORD10041,2025-03-10,North,Clothing,Returning,Credit Card,7,5762.25,0.05,38318.96,5,3.6
ORD10042,2025-05-11,South,Office Supplies,New,Debit Card,7,4749.35,0.15,28258.63,2,3.4
ORD10043,2025-03-28,North,Electronics,Returning,UPI,3,2188.84,0.0,7766.52,7,2.5
ORD10044,2025-08-06,West,Office Supplies,New,Credit Card,2,3707.38,0.2,5931.81,2,3.3
ORD10045,2025-11-01,North,Office Supplies,Returning,Cash,3,1718.19,0.15,4381.38,4,2.8
ORD10046,2025-12-11,East,Furniture,Returning,Credit Card,1,22764.37,0.05,21626.15,4,3.0
ORD10047,2025-12-07,South,Electronics,Returning,UPI,6,12587.04,0.15,65393.9,7,3.9
ORD10048,2025-06-10,South,Office Supplies,Returning,UPI,4,3651.8,0.15,12416.12,4,3.5
ORD10049,2025-06-27,East,Office Supplies,New,Cash,4,4400.47,0.1,15841.69,4,5.0
ORD10050,2025-04-27,North,Clothing,Returning,UPI,1,620.76,0.05,589.72,2,4.7
ORD10051,2025-07-15,West,Office Supplies,Returning,Cash,7,2048.47,0.05,13622.33,3,3.3
ORD10052,2025-11-23,West,Clothing,Returning,Credit Card,2,6169.78,0.05,11722.58,3,3.1
ORD10053,2025-03-27,West,Office Supplies,Returning,Cash,4,2329.1,0.05,8850.58,3,4.9
ORD10054,2025-10-16,West,Office Supplies,Returning,Debit Card,5,1409.54,0.2,5638.16,5,5.0
ORD10055,2025-03-22,East,Clothing,New,Cash,7,1992.5,0.0,13947.5,1,2.0
ORD10056,2025-06-01,West,Furniture,New,UPI,4,4330.13,0.15,14722.44,2,3.9
ORD10057,2025-03-02,North,Electronics,Returning,Debit Card,5,38685.13,0.05,184954.37,4,3.6
ORD10058,2025-03-02,North,Electronics,New,Credit Card,1,26230.71,0.1,24807.64,5,4.3
ORD10059,2025-12-20,North,Clothing,Returning,Credit Card,1,888.16,0.15,754.94,4,5.0
ORD10060,2025-01-28,South,Office Supplies,Returning,Credit Card,7,1974.64,0.2,11057.98,4,3.4
ORD10061,2025-02-12,South,Office Supplies,New,Cash,4,1901.89,0.05,7227.18,4,2.2
ORD10062,2025-06-18,North,Electronics,New,Cash,3,8832.87,0.1,25048.75,4,4.3
ORD10063,2025-03-27,West,Electronics,Returning,Debit Card,5,20049.44,0.1,91422.48,5,4.9
ORD10064,2025-06-26,South,Electronics,New,Credit Card,2,15478.79,0.0,32157.58,5,3.6
ORD10065,2025-01-17,North,Furniture,Returning,Credit Card,4,9334.93,0.05,35472.73,3,3.2
ORD10066,2025-04-08,East,Office Supplies,Returning,Debit Card,2,3721.23,0.1,6698.21,6,3.5
ORD10067,2025-07-17,North,Furniture,Returning,UPI,4,6513.67,0.1,23449.21,5,4.5
ORD10068,2025-04-08,West,Furniture,New,UPI,3,16476.27,0.15,42014.49,7,3.4
ORD10069,2025-03-06,North,Clothing,Returning,UPI,3,4694.0,0.05,13377.9,7,4.1
ORD10070,2025-11-26,West,Furniture,Returning,UPI,7,14720.6,0.1,92739.78,2,3.8
ORD10071,2025-12-07,West,Office Supplies,Returning,UPI,7,3348.74,0.1,21097.06,3,3.7
ORD10072,2025-01-05,North,Clothing,New,UPI,3,4522.54,0.15,11532.48,6,4.4
ORD10073,2025-01-02,North,Furniture,Returning,UPI,6,22126.27,0.2,106206.1,2,3.4
ORD10074,2025-01-22,West,Office Supplies,Returning,UPI,3,3410.34,0.1,9207.92,7,3.5
ORD10075,2025-04-22,East,Clothing,New,Cash,1,4511.62,0.15,3834.88,4,4.4
ORD10076,2025-02-26,West,Clothing,New,Credit Card,1,6689.18,0.05,6354.72,6,3.0
ORD10077,2025-03-07,West,Electronics,New,Credit Card,6,27591.68,0.1,150195.07,4,3.1
ORD10078,2025-11-26,North,Clothing,Returning,Debit Card,5,2541.81,0.05,12073.6,2,2.8
ORD10079,2025-04-08,South,Furniture,Returning,UPI,2,6128.86,0.1,11031.95,6,4.5
ORD10080,2025-05-24,North,Electronics,Returning,Cash,4,7532.89,0.15,26811.83,9,3.7
ORD10081,2025-05-05,West,Furniture,New,Debit Card,4,22607.03,0.2,72342.5,4,2.7
ORD10082,2025-06-16,East,Clothing,New,UPI,6,5768.04,0.0,34608.24,4,4.5
ORD10083,2025-03-27,South,Furniture,Returning,Credit Card,1,23509.61,0.1,21158.65,1,3.4
ORD10084,2025-03-17,North,Furniture,Returning,Cash,7,15558.34,0.1,98017.54,7,3.1
ORD10085,2025-12-10,South,Office Supplies,Returning,Cash,4,2419.66,0.0,9678.64,6,3.6
ORD10086,2025-10-21,South,Electronics,New,Credit Card,1,3439.47,0.05,4467.5,1,5.0
ORD10087,2025-02-28,West,Electronics,Returning,Credit Card,5,30486.59,0.05,146011.3,1,3.5
ORD10088,2025-05-18,East,Electronics,New,UPI,2,26533.63,0.0,54267.26,1,4.3
ORD10089,2025-04-09,West,Electronics,Returning,Cash,5,44567.23,0.05,212894.34,6,4.4
ORD10090,2025-07-11,South,Electronics,Returning,UPI,6,11370.82,0.05,66013.67,6,4.2
ORD10091,2025-08-31,North,Electronics,Returning,Cash,3,24258.59,0.05,70336.98,3,4.8
ORD10092,2025-11-15,East,Office Supplies,Returning,Debit Card,3,3289.69,0.15,8388.71,5,3.2
ORD10093,2025-02-18,West,Electronics,New,Credit Card,3,29290.93,0.1,80285.51,5,3.0
ORD10094,2025-02-01,East,Furniture,New,Credit Card,5,14558.79,0.25,54595.46,4,2.9
ORD10095,2025-10-04,West,Clothing,Returning,UPI,4,6282.35,0.1,22616.46,6,3.7
ORD10096,2025-01-20,South,Furniture,Returning,UPI,2,6078.55,0.15,10333.54,2,3.0
ORD10097,2025-06-03,South,Office Supplies,New,UPI,3,3655.57,0.2,8773.37,7,3.9
ORD10098,2025-03-09,South,Electronics,New,UPI,6,28192.27,0.15,144980.58,3,3.9
ORD10099,2025-08-02,North,Electronics,New,Debit Card,6,40406.52,0.1,219395.21,8,4.6
ORD10100,2025-05-23,North,Electronics,Returning,UPI,3,38245.99,0.15,98727.27,3,4.0
ORD10101,2025-08-20,North,Electronics,New,UPI,3,14729.5,0.05,43179.08,4,3.5
ORD10102,2025-08-01,East,Electronics,New,Cash,2,13009.69,0.05,25918.41,5,4.1
ORD10103,2025-03-20,South,Electronics,New,Cash,3,44189.08,0.1,120510.52,5,3.0
ORD10104,2025-08-02,South,Electronics,New,Cash,2,24105.12,0.1,44589.22,5,3.8
ORD10105,2025-04-26,West,Electronics,New,Cash,6,40863.81,0.0,246382.86,2,4.1
ORD10106,2025-04-02,North,Furniture,Returning,UPI,3,5100.37,0.2,12240.89,4,3.9
ORD10107,2025-09-27,South,Electronics,New,Credit Card,5,29212.6,0.15,125353.55,5,4.1
ORD10108,2025-06-17,West,Furniture,Returning,Debit Card,7,20474.67,0.1,128990.42,4,3.3
ORD10109,2025-02-27,North,Office Supplies,New,Debit Card,5,4742.24,0.2,18968.96,5,4.7
ORD10110,2025-10-11,North,Office Supplies,Returning,UPI,6,1752.97,0.1,9466.04,2,5.0
ORD10111,2025-01-26,North,Electronics,Returning,Debit Card,2,32844.17,0.25,50466.26,4,2.5
ORD10112,2025-03-07,North,Clothing,Returning,UPI,5,4448.86,0.1,20019.87,3,2.8
ORD10113,2025-09-05,West,Office Supplies,Returning,UPI,2,397.08,0.0,794.16,4,3.8
ORD10114,2025-09-11,West,Electronics,New,Credit Card,5,31297.99,0.15,134216.46,7,3.6
ORD10115,2025-02-13,East,Clothing,New,Credit Card,5,5613.74,0.15,23858.39,7,5.0
ORD10116,2025-04-07,West,Clothing,Returning,Credit Card,2,7465.67,0.15,12691.64,7,4.0
ORD10117,2025-02-11,West,Electronics,Returning,UPI,4,22781.21,0.25,69543.63,4,
ORD10118,2025-08-15,North,Electronics,Returning,Cash,5,10977.09,0.15,47852.63,6,2.2
ORD10119,2025-09-19,West,Clothing,Returning,UPI,3,643.14,0.1,1736.48,5,4.5
ORD10120,2025-06-16,South,Office Supplies,Returning,UPI,7,2136.65,0.2,11965.24,5,3.2
ORD10121,2025-10-06,West,Electronics,Returning,Cash,6,14144.72,0.15,73338.07,20,3.2
ORD10122,2025-03-30,West,Electronics,New,Cash,4,34440.1,0.1,125184.36,8,3.6
ORD10123,2025-06-27,South,Furniture,Returning,Cash,2,9631.57,0.2,15410.51,7,2.7
ORD10124,2025-07-16,North,Furniture,Returning,Debit Card,4,23787.89,0.05,90393.98,6,4.2
ORD10125,2025-11-03,North,Office Supplies,New,Debit Card,1,4815.32,0.15,4093.02,4,4.0
ORD10126,2025-09-24,South,Furniture,Returning,Credit Card,1,15977.62,0.2,12782.1,5,4.0
ORD10127,2025-09-25,West,Furniture,New,UPI,5,23302.11,0.15,99033.97,5,4.5
ORD10128,2025-03-15,West,Office Supplies,Returning,Credit Card,5,3828.19,0.15,16269.81,4,5.0
ORD10129,2025-01-08,North,Electronics,New,UPI,3,24971.2,0.15,64876.56,6,3.5
ORD10130,2025-10-24,South,Electronics,Returning,UPI,7,8769.61,0.1,56448.54,3,4.2
ORD10131,2025-06-13,South,Office Supplies,Returning,Debit Card,6,2347.13,0.2,11266.22,5,4.0
ORD10132,2025-03-26,North,Clothing,New,Credit Card,4,4618.73,0.05,17551.17,1,4.1
ORD10133,2025-03-13,North,Office Supplies,Returning,UPI,1,4333.41,0.0,4333.41,4,4.1
ORD10134,2025-02-24,South,Office Supplies,Returning,UPI,5,2458.53,0.05,11678.02,8,5.0
ORD10135,2025-02-16,West,Electronics,Returning,Debit Card,6,40477.22,0.1,219776.99,6,3.4
ORD10136,2025-08-26,South,Furniture,New,UPI,4,17249.51,0.1,62098.24,7,2.6
ORD10137,2025-04-14,South,Office Supplies,New,Cash,5,771.3,0.15,3278.02,3,3.2
ORD10138,2025-07-29,East,Electronics,New,Credit Card,5,44778.18,0.1,202701.81,5,4.4
ORD10139,2025-02-11,South,Electronics,Returning,Credit Card,1,24103.68,0.1,22893.31,7,3.8
ORD10140,2025-11-12,West,Furniture,Returning,Credit Card,1,10526.23,0.0,10526.23,6,3.4
ORD10141,2025-09-25,West,Electronics,Returning,Debit Card,5,29932.83,0.1,135897.74,5,2.9
ORD10142,2025-09-20,North,Furniture,Returning,UPI,2,3791.66,0.1,6824.99,7,4.0
ORD10143,2025-12-02,South,Electronics,Returning,Debit Card,5,28935.01,0.0,145875.05,3,4.3
ORD10144,2025-12-31,South,Furniture,Returning,Credit Card,6,13058.02,0.05,74430.71,4,4.0
ORD10145,2025-09-16,North,Electronics,New,UPI,5,18774.99,0.05,90381.2,1,3.6
ORD10146,2025-10-10,North,Clothing,Returning,Cash,3,7638.25,0.0,22914.75,3,3.9
ORD10147,2025-04-24,East,Office Supplies,New,Debit Card,7,2660.44,0.1,16760.77,6,3.9
ORD10148,2025-12-29,South,Office Supplies,Returning,Debit Card,3,1173.68,0.0,3521.04,3,4.0
ORD10149,2025-02-09,North,Clothing,Returning,Cash,3,3834.02,0.15,9776.75,6,2.9
ORD10150,2025-08-08,North,Furniture,Returning,Cash,2,23081.42,0.15,39238.41,7,4.0
ORD10151,2025-05-09,West,Electronics,New,Debit Card,2,8583.42,0.1,16650.16,4,3.4
ORD10152,2025-01-08,North,Office Supplies,New,Debit Card,5,1148.39,0.25,4306.46,5,4.6
ORD10153,2025-04-11,North,Office Supplies,New,Debit Card,3,163.84,0.1,442.37,6,3.9
ORD10154,2025-06-25,South,Office Supplies,New,Debit Card,2,169.53,0.1,305.15,2,4.5
ORD10155,2025-04-17,West,Furniture,New,Credit Card,1,20939.52,0.25,15704.64,3,3.6
ORD10156,2025-04-11,North,Electronics,Returning,Debit Card,5,33159.82,0.05,158709.14,3,3.6
ORD10157,2025-09-17,East,Furniture,Returning,UPI,6,9649.98,0.2,46319.9,4,5.0
