Order_Date,Orders,Total_Sales,Average_Sales,Month
2025-01-31,33,1489182.09,45126.73,2025-01
2025-02-28,40,2320476.0100000002,58011.900250000006,2025-02
2025-03-31,52,2160688.24,41551.696923076925,2025-03
2025-04-30,41,1650563.59,40257.648536585366,2025-04
2025-05-31,46,1952482.72,42445.27652173913,2025-05
2025-06-30,46,2457399.82,53421.7352173913,2025-06
2025-07-31,39,1668666.15,42786.31153846154,2025-07
2025-08-31,37,1389127.94,37543.998378378375,2025-08
2025-09-30,49,2206384.27,45028.250408163265,2025-09
2025-10-31,36,1051596.4100000001,29211.01138888889,2025-10
2025-11-30,41,1639333.3499999999,39983.74024390244,2025-11
2025-12-31,42,2702419.38,64343.31857142857,2025-12
