Order_ID,Order_Date,Region,Category,Product,Customer_Segment,Payment_Method,Quantity,Unit_Price,Discount,Sales,Profit,Customer_Satisfaction
ORD10088,2025-01-03,South,Electronics,Smartphone,Consumer,Credit Card,6,43204.27,0.2,207380.5,22124.68,4.8
ORD10155,2025-01-03,West,Office Supplies,File Folder,Consumer,Credit Card,6,1898.11,0.2,9475.38,2618.34,3.9
ORD10227,2025-01-04,South,Electronics,Smartphone,Consumer,UPI,5,23007.09,0.0,115035.45,19084.36,5.0
ORD10081,2025-01-05,West,Electronics,Monitor,Consumer,UPI,1,27621.19,0.0,28726.04,2591.01,3.6
ORD10110,2025-01-05,North,Grocery,Biscuits,Consumer,UPI,2,985.85,0.05,2022.97,445.22,3.7
ORD10161,2025-01-05,West,Grocery,Biscuits,Consumer,Credit Card,7,1860.6,0.1,12190.63,1710.2,3.7
ORD10272,2025-01-05,West,Furniture,Table,Corporate,UPI,6,27350.13,0.0,170664.83,31757.36,4.3
ORD10277,2025-01-07,North,Office Supplies,Stapler,Consumer,UPI,2,4299.2,0.15,7893.33,768.69,4.6
ORD10267,2025-01-08,South,Office Supplies,File Folder,Corporate,Cash,1,2491.67,0.2,1993.33,466.79,3.9
ORD10051,2025-01-09,North,Grocery,Rice,Consumer,UPI,2,2433.1,0.05,4992.73,610.84,3.6
ORD10049,2025-01-09,West,Clothing,Shoes,Consumer,Debit Card,7,367.83,0.05,2543.94,591.17,3.3
ORD10045,2025-01-09,North,Clothing,Shoes,Corporate,Credit Card,2,3886.26,0.1,7554.88,786.24,4.5
ORD10099,2025-01-10,West,Clothing,Shoes,Consumer,UPI,2,1350.62,0.0,2809.28,363.92,5.0
ORD10524,2025-01-10,North,Furniture,Cabinet,Consumer,Cash,4,16208.59,0.15,59517.94,15456.55,4.4
ORD10169,2025-01-11,South,Office Supplies,Stapler,Consumer,Credit Card,5,2521.9,0.05,11979.04,2914.02,3.6
ORD10119,2025-01-12,West,Furniture,Office Chair,Small Business,Debit Card,3,13920.82,0.05,41261.3,5981.56,4.6
ORD10220,2025-01-12,South,Clothing,Jacket,Small Business,UPI,6,4993.35,0.0,29960.12,3879.02,5.0
ORD10146,2025-01-13,South,Electronics,Laptop,Consumer,UPI,3,47757.95,0.15,121782.77,22476.7,3.3
ORD10249,2025-01-14,West,Electronics,Monitor,Small Business,Debit Card,2,52404.17,0.0,109000.67,26140.81,3.8
ORD10131,2025-01-14,East,Grocery,Snacks,Consumer,UPI,6,2049.98,0.0,11192.87,1674.56,3.8
ORD10490,2025-01-16,West,Clothing,Backpack,Corporate,Credit Card,6,1778.83,0.05,10544.89,2166.86,4.0
ORD10556,2025-01-16,East,Office Supplies,Stapler,Small Business,UPI,5,694.25,0.1,2842.96,402.54,5.0
ORD10355,2025-01-17,East,Furniture,Cabinet,Consumer,Credit Card,2,16297.04,0.1,26694.55,3254.44,5.0
ORD10565,2025-01-17,South,Office Supplies,File Folder,Consumer,UPI,6,3084.53,0.1,16656.48,4126.28,3.8
ORD10423,2025-01-18,West,Furniture,Office Chair,Consumer,UPI,7,3889.74,0.1,25485.58,6932.07,3.8
ORD10477,2025-01-18,East,Electronics,Monitor,Consumer,Debit Card,7,63933.27,0.05,386892.18,85452.31,4.5
ORD10491,2025-01-19,West,Electronics,Monitor,Consumer,UPI,4,24408.38,0.1,91384.97,15757.48,5.0
ORD10402,2025-01-20,South,Furniture,Office Chair,Small Business,UPI,5,18530.92,0.0,92654.62,17323.72,3.6
ORD10348,2025-01-20,East,Furniture,Cabinet,Corporate,UPI,5,17813.87,0.0,81053.13,8735.15,2.9
ORD10150,2025-01-21,South,Clothing,Shoes,Corporate,Cash,4,2022.37,0.1,7280.54,1580.73,3.5
ORD10368,2025-01-21,North,Clothing,Jeans,Consumer,Credit Card,1,3173.66,0.0,3427.55,546.42,4.7
ORD10107,2025-01-23,East,Electronics,Headphones,Consumer,UPI,2,1471.28,0.15,2276.08,301.14,4.9
ORD10128,2025-01-23,North,Clothing,Jacket,Small Business,Cash,2,5053.43,0.05,10369.64,992.23,4.0
ORD10008,2025-01-24,North,Office Supplies,File Folder,Small Business,Debit Card,6,687.64,0.1,4010.34,331.01,5.0
ORD10452,2025-01-25,South,Electronics,Smartphone,Consumer,UPI,4,40972.06,0.1,147499.4,31143.39,4.4
ORD10478,2025-01-25,North,Office Supplies,Notebook,Small Business,UPI,6,459.16,0.1,2677.81,722.26,3.7
ORD10489,2025-01-25,North,Clothing,Backpack,Consumer,Credit Card,6,488.89,0.0,3168.02,372.2,3.0
ORD10168,2025-01-25,West,Grocery,Tea,Corporate,Credit Card,5,1865.22,0.0,9699.14,2570.66,4.6
ORD10482,2025-01-27,South,Clothing,Jeans,Corporate,Cash,1,2625.05,0.05,2493.8,455.25,3.9
ORD10460,2025-01-28,West,Office Supplies,File Folder,Small Business,UPI,3,2991.81,0.15,7934.29,1543.95,4.1
ORD10191,2025-01-29,North,Grocery,Snacks,Corporate,Debit Card,5,1315.02,0.1,6390.98,1627.84,4.1
ORD10029,2025-01-29,North,Clothing,Backpack,Consumer,Credit Card,6,935.4,0.05,5758.33,1360.59,5.0
ORD10574,2025-01-30,North,Office Supplies,Printer Paper,Corporate,UPI,4,933.94,0.0,4034.64,943.71,4.6
ORD10246,2025-01-30,North,Furniture,Office Chair,Small Business,Credit Card,7,4874.43,0.0,36850.67,10190.44,4.4
ORD10059,2025-01-31,South,Electronics,Smartphone,Consumer,UPI,4,54693.38,0.15,185957.51,38676.21,2.8
ORD10397,2025-01-31,North,Furniture,Office Chair,Corporate,UPI,2,4605.11,0.1,8952.33,2486.45,4.8
ORD10598,2025-02-01,East,Office Supplies,Notebook,Small Business,Cash,4,4340.95,0.15,13430.91,1980.87,3.5
ORD10151,2025-02-01,North,Electronics,Monitor,Corporate,UPI,4,44965.44,0.1,174825.61,37106.96,4.7
ORD10336,2025-02-03,North,Office Supplies,Notebook,Corporate,Credit Card,2,1642.17,0.05,3369.74,925.61,4.4
ORD10162,2025-02-04,West,Grocery,Cooking Oil,Corporate,Credit Card,4,349.21,0.2,1162.18,275.67,4.7
ORD10232,2025-02-05,East,Furniture,Desk,Consumer,Credit Card,5,24559.09,0.0,111743.87,26740.56,2.7
ORD10024,2025-02-05,South,Clothing,T-Shirt,Small Business,Credit Card,6,2732.23,0.05,15573.7,3152.7,3.7
ORD10157,2025-02-05,North,Furniture,Table,Corporate,Credit Card,3,15464.7,0.0,50105.61,4648.24,4.7
ORD10464,2025-02-07,North,Electronics,Monitor,Consumer,Credit Card,2,43924.79,0.15,80645.92,8558.93,4.9
ORD10122,2025-02-08,South,Office Supplies,Stapler,Small Business,Cash,1,4139.24,0.15,3518.36,812.84,3.7
ORD10104,2025-02-09,West,Grocery,Snacks,Consumer,Credit Card,1,493.45,0.1,461.87,83.56,4.2
ORD10019,2025-02-09,West,Office Supplies,Stapler,Consumer,Cash,2,3260.79,0.1,6104.19,1359.31,4.8
ORD10117,2025-02-09,West,Clothing,Jeans,Consumer,UPI,4,6227.78,0.15,22021.44,4367.36,5.0
ORD10054,2025-02-09,North,Office Supplies,Stapler,Corporate,UPI,1,365.83,0.05,375.34,87.06,3.9
ORD10503,2025-02-10,North,Furniture,Cabinet,Small Business,Cash,2,11698.33,0.0,25268.4,5100.28,4.8
ORD10469,2025-02-11,North,Electronics,Headphones,Corporate,Credit Card,2,24224.61,0.0,52325.16,5705.83,3.6
ORD10205,2025-02-13,East,Grocery,Biscuits,Corporate,UPI,1,1907.57,0.15,1475.51,395.62,4.2
ORD10171,2025-02-14,North,Furniture,Office Chair,Consumer,Debit Card,1,6421.67,0.1,6241.86,1115.66,4.7
ORD10595,2025-02-15,South,Clothing,Jeans,Consumer,Cash,1,2042.51,0.15,1736.13,223.04,2.8
ORD10371,2025-02-15,North,Office Supplies,Stapler,Corporate,Credit Card,7,86.64,0.05,622.25,138.67,3.4
ORD10596,2025-02-15,South,Electronics,Laptop,Small Business,Debit Card,2,57246.02,0.2,91593.63,21162.36,3.4
ORD10130,2025-02-16,South,Office Supplies,Pen Set,Corporate,UPI,2,3066.3,0.0,6132.6,585.82,4.9
ORD10004,2025-02-16,West,Electronics,Smartphone,Corporate,Credit Card,5,30864.16,0.1,144444.27,21308.41,4.9
ORD10577,2025-02-16,South,Clothing,T-Shirt,Consumer,Debit Card,1,265.98,0.05,252.68,31.71,4.4
ORD10214,2025-02-16,North,Office Supplies,Notebook,Small Business,UPI,2,4277.24,0.1,8314.96,954.15,4.3
ORD10261,2025-02-17,West,Clothing,Jacket,Corporate,Cash,2,6514.72,0.05,12873.09,1258.39,4.6
ORD10268,2025-02-18,South,Electronics,Laptop,Corporate,Debit Card,7,18672.06,0.05,124169.23,13861.86,4.0
ORD10071,2025-02-18,East,Furniture,Table,Consumer,Credit Card,7,26422.54,0.0,168311.56,17652.31,3.2
ORD10138,2025-02-19,East,Office Supplies,Notebook,Small Business,UPI,7,3314.7,0.0,21114.66,4730.74,3.7
ORD10186,2025-02-21,East,Electronics,Laptop,Consumer,Credit Card,3,36900.04,0.1,90663.4,14484.42,3.8
ORD10165,2025-02-22,West,Electronics,Keyboard,Consumer,Debit Card,5,40920.43,0.05,202146.91,54657.76,3.4
ORD10378,2025-02-23,South,Office Supplies,Printer Paper,Consumer,UPI,5,4232.8,0.05,20105.78,2938.22,4.2
ORD10017,2025-02-23,West,Office Supplies,Stapler,Corporate,Cash,2,1610.81,0.0,3350.49,452.88,5.0
ORD10403,2025-02-24,West,Electronics,Keyboard,Small Business,UPI,2,20139.83,0.2,33512.68,6842.25,4.2
ORD10383,2025-02-26,South,Office Supplies,Pen Set,Consumer,UPI,7,1214.32,0.2,6800.18,1642.68,4.0
ORD10361,2025-02-26,South,Furniture,Bookshelf,Consumer,UPI,5,20933.08,0.0,104665.4,20608.0,3.9
ORD10177,2025-02-26,East,Furniture,Table,Consumer,UPI,6,8678.7,0.0,47385.73,7836.26,5.0
ORD10570,2025-02-26,North,Electronics,Laptop,Corporate,UPI,7,17490.69,0.05,125618.12,27672.85,5.0
ORD10313,2025-02-27,East,Electronics,Monitor,Consumer,Credit Card,3,4324.03,0.0,11804.59,959.54,3.9
ORD10600,2025-02-28,South,Furniture,Desk,Consumer,Debit Card,5,17130.76,0.2,68523.03,12768.92,3.5
ORD10559,2025-03-01,West,Clothing,Shoes,Consumer,Debit Card,1,6856.07,0.0,7130.31,883.21,3.6
ORD10195,2025-03-01,East,Electronics,Smartphone,Consumer,UPI,3,4093.24,0.0,11174.55,2351.15,3.7
ORD10038,2025-03-01,West,Electronics,Smartphone,Corporate,Credit Card,5,19510.53,0.0,101454.76,15881.4,4.5
ORD10284,2025-03-01,South,Clothing,Jeans,Corporate,Credit Card,5,5995.84,0.05,28480.24,4001.26,4.4
ORD10585,2025-03-02,East,Furniture,Office Chair,Consumer,Debit Card,6,1518.77,0.2,6634.01,635.73,4.0
ORD10278,2025-03-02,West,Grocery,Rice,Corporate,UPI,6,2127.36,0.0,13274.74,2407.64,3.3
ORD10039,2025-03-03,North,Office Supplies,Pen Set,Small Business,Debit Card,4,2271.95,0.15,8342.61,1963.11,4.4
ORD10217,2025-03-03,East,Office Supplies,File Folder,Consumer,UPI,2,3035.08,0.05,5247.66,1087.63,4.1
ORD10123,2025-03-03,South,Clothing,T-Shirt,Consumer,Credit Card,1,6680.85,0.15,5678.72,896.82,3.8
ORD10237,2025-03-03,West,Furniture,Bookshelf,Corporate,Debit Card,7,23573.89,0.0,171617.95,22602.9,5.0
ORD10083,2025-03-03,West,Clothing,Jeans,Consumer,Credit Card,4,5039.2,0.05,19914.93,5062.51,5.0
ORD10475,2025-03-06,North,Electronics,Monitor,Consumer,UPI,4,57470.22,0.05,235857.79,45882.48,3.9
ORD10236,2025-03-06,West,Electronics,Headphones,Consumer,Credit Card,2,17541.77,0.15,31013.86,7909.51,4.5
ORD10091,2025-03-06,East,Office Supplies,Pen Set,Corporate,UPI,2,2161.1,0.15,3343.22,319.73,3.8
ORD10573,2025-03-07,South,Electronics,Laptop,Consumer,Credit Card,7,44490.84,0.05,295864.11,24841.28,4.4
ORD10538,2025-03-08,North,Electronics,Keyboard,Corporate,Credit Card,6,21488.94,0.05,132285.89,29388.07,5.0
ORD10204,2025-03-08,North,Electronics,Laptop,Consumer,Debit Card,6,38664.57,0.15,212964.44,30201.55,3.6
ORD10042,2025-03-09,West,Electronics,Smartphone,Consumer,Credit Card,4,58979.74,0.0,245355.72,31235.48,4.3
ORD10517,2025-03-10,South,Clothing,Jeans,Small Business,Credit Card,3,4878.4,0.05,13903.43,1828.11,4.6
ORD10344,2025-03-11,West,Furniture,Cabinet,Small Business,Credit Card,3,25305.49,0.1,71057.8,7387.37,3.6
ORD10358,2025-03-11,West,Electronics,Headphones,Corporate,Credit Card,1,52389.61,0.05,51760.93,9192.27,4.5
ORD10096,2025-03-11,West,Electronics,Laptop,Corporate,Debit Card,2,23946.76,0.0,49809.27,12192.25,3.0
ORD10211,2025-03-13,East,Furniture,Cabinet,Small Business,Debit Card,7,25470.55,0.15,137910.3,37706.05,4.0
ORD10385,2025-03-14,North,Grocery,Cooking Oil,Corporate,Credit Card,5,1814.51,0.0,9798.37,976.72,3.5
ORD10424,2025-03-14,North,Office Supplies,File Folder,Small Business,UPI,2,1137.17,0.05,2333.47,572.25,3.0
ORD10061,2025-03-15,West,Office Supplies,Stapler,Corporate,Credit Card,4,1614.51,0.05,6380.53,1776.14,4.3
ORD10398,2025-03-15,North,Grocery,Rice,Consumer,UPI,4,843.02,0.1,3277.67,839.81,4.8
ORD10479,2025-03-15,West,Office Supplies,Notebook,Corporate,Cash,6,3892.31,0.0,24288.0,6572.74,4.4
ORD10257,2025-03-16,North,Office Supplies,File Folder,Consumer,Credit Card,2,545.8,0.0,1178.93,174.68,1.9
ORD10528,2025-03-17,North,Clothing,Jacket,Small Business,UPI,5,2754.25,0.05,14129.33,1513.78,3.5
ORD10121,2025-03-17,West,Office Supplies,Printer Paper,Corporate,Credit Card,7,1477.71,0.15,9144.07,1102.7,4.5
ORD10170,2025-03-18,North,Electronics,Keyboard,Consumer,Credit Card,1,14003.25,0.05,14367.33,2879.94,3.8
ORD10590,2025-03-18,West,Electronics,Laptop,Small Business,Cash,3,2242.31,0.15,5946.61,1476.13,3.4
ORD10208,2025-03-19,South,Clothing,Jeans,Small Business,Debit Card,7,5523.43,0.05,36730.79,9634.26,4.8
ORD10079,2025-03-19,East,Clothing,Shoes,Corporate,UPI,1,421.67,0.1,345.35,30.87,4.2
ORD10421,2025-03-20,North,Furniture,Cabinet,Consumer,UPI,1,10656.27,0.0,11508.77,1339.97,3.0
ORD10098,2025-03-20,South,Clothing,T-Shirt,Consumer,Credit Card,7,5143.35,0.2,28802.75,2350.53,3.0
ORD10331,2025-03-21,South,Furniture,Desk,Consumer,Credit Card,7,24988.3,0.0,174918.09,47391.15,3.8
ORD10352,2025-03-22,North,Clothing,Jeans,Corporate,Credit Card,2,883.18,0.05,1812.28,468.53,4.6
ORD10583,2025-03-22,West,Electronics,Headphones,Consumer,Credit Card,1,45598.85,0.2,37938.24,5192.91,4.1
ORD10301,2025-03-22,North,Clothing,T-Shirt,Consumer,Cash,2,4006.69,0.1,7789.01,1063.44,4.9
ORD10376,2025-03-22,West,Office Supplies,Printer Paper,Corporate,Debit Card,3,3272.54,0.05,9699.82,1484.55,3.1
ORD10481,2025-03-24,West,Clothing,Shoes,Small Business,Cash,7,434.64,0.15,2689.58,360.23,3.7
ORD10467,2025-03-24,West,Office Supplies,Notebook,Corporate,Debit Card,4,2458.77,0.15,8694.22,1751.54,3.5
ORD10419,2025-03-25,West,Electronics,Keyboard,Consumer,Credit Card,7,34364.89,0.1,225158.77,45997.96,3.9
ORD10592,2025-03-25,North,Office Supplies,File Folder,Consumer,Credit Card,4,1026.78,0.15,3770.33,506.82,3.6
ORD10417,2025-03-26,West,Electronics,Monitor,Corporate,Debit Card,5,45584.07,0.2,189629.74,17831.44,4.2
ORD10144,2025-03-27,East,Electronics,Laptop,Consumer,Debit Card,6,49167.33,0.1,241608.28,33230.04,3.8
ORD10501,2025-03-27,West,Electronics,Laptop,Small Business,UPI,4,46621.35,0.1,174550.33,14804.96,3.7
ORD10022,2025-03-27,South,Office Supplies,Pen Set,Small Business,Debit Card,7,1896.98,0.05,12614.89,3288.06,3.4
ORD10542,2025-03-28,East,Electronics,Smartphone,Consumer,Cash,6,64965.21,0.05,336974.54,78131.71,3.9
ORD10199,2025-03-29,West,Grocery,Tea,Corporate,Credit Card,2,1718.27,0.0,3574.0,639.85,3.5
ORD10248,2025-03-30,North,Clothing,Jeans,Consumer,Credit Card,5,785.94,0.1,3819.68,751.36,4.5
ORD10569,2025-03-30,North,Furniture,Bookshelf,Small Business,Debit Card,2,25617.56,0.1,49800.54,12709.31,3.5
ORD10050,2025-03-31,West,Grocery,Biscuits,Consumer,UPI,3,1132.43,0.0,3533.19,822.24,4.7
ORD10560,2025-04-02,North,Grocery,Tea,Consumer,Cash,5,1002.53,0.2,4330.92,492.42,5.0
ORD10189,2025-04-02,North,Electronics,Monitor,Corporate,Cash,1,28622.91,0.0,30912.75,5957.78,2.9
ORD10058,2025-04-03,East,Grocery,Tea,Consumer,UPI,7,1158.91,0.0,7382.28,1617.33,3.4
ORD10312,2025-04-04,South,Electronics,Headphones,Small Business,Cash,2,41075.7,0.2,65721.13,16663.61,4.0
ORD10472,2025-04-04,North,Grocery,Snacks,Consumer,Debit Card,1,426.93,0.1,414.97,56.5,3.3
ORD10510,2025-04-05,North,Clothing,Jacket,Consumer,UPI,5,4346.45,0.05,22297.29,2595.31,3.3
ORD10126,2025-04-05,West,Grocery,Cooking Oil,Corporate,UPI,4,1405.66,0.15,4970.42,1332.32,4.1
ORD10253,2025-04-05,East,Office Supplies,File Folder,Consumer,Credit Card,7,3410.83,0.05,20640.62,4962.34,3.4
ORD10082,2025-04-05,East,Furniture,Office Chair,Corporate,UPI,6,10347.27,0.0,56496.12,8350.07,3.8
ORD10453,2025-04-06,West,Furniture,Bookshelf,Consumer,Debit Card,7,21431.54,0.1,140419.45,33046.78,2.5
ORD10575,2025-04-07,North,Grocery,Cooking Oil,Corporate,Credit Card,3,342.97,0.05,1055.66,107.76,4.2
ORD10213,2025-04-07,South,Grocery,Cooking Oil,Corporate,Debit Card,2,875.56,0.15,1488.45,216.48,5.0
ORD10404,2025-04-08,South,Clothing,T-Shirt,Small Business,Credit Card,4,6286.79,0.05,23889.82,5349.18,2.6
ORD10256,2025-04-08,East,Electronics,Keyboard,Small Business,UPI,6,9126.09,0.05,47337.01,7776.6,2.9
ORD10143,2025-04-10,South,Furniture,Table,Consumer,UPI,1,11740.56,0.15,9979.48,2372.06,3.3
ORD10090,2025-04-10,North,Grocery,Cooking Oil,Small Business,Credit Card,5,1928.17,0.1,9370.93,1313.95,3.7
ORD10100,2025-04-10,West,Grocery,Biscuits,Consumer,Cash,3,181.9,0.15,482.39,112.36,4.6
ORD10068,2025-04-12,West,Clothing,Jacket,Consumer,UPI,1,424.59,0.05,419.5,35.49,4.3
ORD10567,2025-04-13,South,Furniture,Desk,Consumer,UPI,2,11974.94,0.15,20357.39,5126.11,4.4
ORD10389,2025-04-13,West,Furniture,Cabinet,Small Business,Debit Card,2,15517.54,0.05,30662.66,3495.72,5.0
ORD10007,2025-04-13,South,Clothing,Backpack,Corporate,Cash,2,3815.17,0.1,6867.31,1554.12,3.0
ORD10105,2025-04-15,East,Grocery,Biscuits,Small Business,Debit Card,3,1756.42,0.1,4315.52,983.71,3.9
ORD10112,2025-04-15,South,Office Supplies,Printer Paper,Small Business,UPI,1,4429.24,0.1,3986.32,522.44,4.5
ORD10483,2025-04-16,East,Grocery,Rice,Corporate,UPI,3,990.06,0.0,2702.87,308.09,4.4
ORD10466,2025-04-17,North,Electronics,Monitor,Small Business,Debit Card,1,17813.94,0.05,18277.1,5018.17,4.0
ORD10097,2025-04-17,South,Grocery,Tea,Consumer,Debit Card,7,1290.1,0.0,9030.67,1099.29,4.7
ORD10229,2025-04-18,West,Electronics,Headphones,Corporate,Debit Card,4,56923.01,0.0,236799.73,55746.5,3.9
ORD10016,2025-04-19,South,Clothing,Jeans,Consumer,UPI,6,2114.19,0.0,12685.11,3341.81,3.9
ORD10394,2025-04-19,North,Office Supplies,Printer Paper,Corporate,Credit Card,1,268.51,0.15,246.49,47.43,2.9
ORD10350,2025-04-20,North,Office Supplies,Pen Set,Consumer,Credit Card,7,3263.05,0.0,24668.63,4737.79,3.6
ORD10223,2025-04-21,South,Grocery,Tea,Corporate,UPI,4,1221.0,0.0,4884.0,448.09,3.6
ORD10282,2025-04-21,South,Clothing,Shoes,Small Business,Credit Card,2,5107.25,0.1,9193.05,1990.02,3.4
ORD10476,2025-04-22,East,Furniture,Cabinet,Corporate,UPI,6,5713.89,0.15,26518.15,7277.79,4.7
ORD10118,2025-04-22,West,Electronics,Laptop,Corporate,Cash,7,29161.85,0.0,212298.3,42570.72,4.4
ORD10426,2025-04-23,North,Electronics,Keyboard,Consumer,UPI,6,29824.3,0.0,193261.49,28814.25,3.4
ORD10269,2025-04-24,South,Clothing,Jacket,Consumer,Credit Card,1,1045.52,0.1,940.97,180.88,4.2
ORD10080,2025-04-25,West,Furniture,Bookshelf,Consumer,Debit Card,4,12786.75,0.05,50533.25,9828.89,3.7
ORD10030,2025-04-27,West,Furniture,Desk,Corporate,Debit Card,7,7407.81,0.1,48535.96,8739.81,3.4
