title,price_gbp,rating,availability,product_url,image_url,page
A Light in the Attic,53.32,3,In stock,https://books.toscrape.com/,,1
Tipping the Velvet,56.96,1,In stock,https://books.toscrape.com/,,1
Soumission,47.09,1,In stock,https://books.toscrape.com/,,1
Sharp Objects,46.39,4,In stock,https://books.toscrape.com/,,1
Sapiens,54.23,5,In stock,https://books.toscrape.com/,,1
The Requiem Red,23.33,1,In stock,https://books.toscrape.com/,,1
The Coming Woman,19.01,3,Out of stock,https://books.toscrape.com/,,1
The Boys in the Boat,,4,In stock,https://books.toscrape.com/,,1
The Black Maria,50.59,1,In stock,https://books.toscrape.com/,,1
Starving Hearts,13.99,2,In stock,https://books.toscrape.com/,,1
Shakespeare's Sonnets,21.28,4,In stock,https://books.toscrape.com/,,1
Set Me Free,18.51,5,In stock,https://books.toscrape.com/,,1
Olio,22.45,3,In stock,https://books.toscrape.com/,,1
Libertarianism for Beginners,49.79,2,In stock,https://books.toscrape.com/,,1
It's Only the Himalayas,45.17,4,Out of stock,https://books.toscrape.com/,,1
Persuasion,29.29,5,In stock,https://books.toscrape.com/,,1
Persuasion,41.5,4,In stock,https://books.toscrape.com/,,1
Northanger Abbey,17.6,3,In stock,https://books.toscrape.com/,,1
Pride and Prejudice,43.26,5,In stock,https://books.toscrape.com/,,1
Sense and Sensibility,31.28,4,In stock,https://books.toscrape.com/,,1
A Light in the Attic - Edition 2,49.18,3,In stock,https://books.toscrape.com/,,2
Tipping the Velvet - Edition 2,52.67,1,In stock,https://books.toscrape.com/,,2
Soumission - Edition 2,50.6,1,In stock,https://books.toscrape.com/,,2
Sharp Objects - Edition 2,49.73,4,In stock,https://books.toscrape.com/,,2
Sapiens - Edition 2,58.03,5,In stock,https://books.toscrape.com/,,2
The Requiem Red - Edition 2,21.52,1,Out of stock,https://books.toscrape.com/,,2
The Coming Woman - Edition 2,17.57,3,In stock,https://books.toscrape.com/,,2
The Boys in the Boat - Edition 2,22.83,4,In stock,https://books.toscrape.com/,,2
The Black Maria - Edition 2,54.24,1,In stock,https://books.toscrape.com/,,2
Starving Hearts - Edition 2,14.97,2,In stock,https://books.toscrape.com/,,2
Shakespeare's Sonnets - Edition 2,19.63,4,In stock,https://books.toscrape.com/,,2
Set Me Free - Edition 2,17.11,5,In stock,https://books.toscrape.com/,,2
Olio - Edition 2,24.12,3,In stock,https://books.toscrape.com/,,2
Libertarianism for Beginners - Edition 2,53.38,6,Out of stock,https://books.toscrape.com/,,2
It's Only the Himalayas - Edition 2,48.33,4,In stock,https://books.toscrape.com/,,2
Persuasion - Edition 2,27.02,5,In stock,https://books.toscrape.com/,,2
Emma - Edition 2,38.37,4,In stock,https://books.toscrape.com/,,2
Northanger Abbey - Edition 2,18.91,3,In stock,https://books.toscrape.com/,,2
Pride and Prejudice - Edition 2,46.38,5,In stock,https://books.toscrape.com/,,2
Sense and Sensibility - Edition 2,33.47,4,In stock,https://books.toscrape.com/,,2
A Light in the Attic - Edition 3,52.81,3,In stock,https://books.toscrape.com/,,3
Tipping the Velvet - Edition 3,56.43,1,In stock,https://books.toscrape.com/,,3
Soumission - Edition 3,46.59,1,In stock,https://books.toscrape.com/,,3
Sharp Objects - Edition 3,45.91,4,In stock,https://books.toscrape.com/,,3
Sapiens - Edition 3,53.69,5,Out of stock,https://books.toscrape.com/,,3
The Requiem Red - Edition 3,23.1,1,In stock,https://books.toscrape.com/,,3
The Coming Woman - Edition 3,18.83,3,In stock,https://books.toscrape.com/,,3
The Boys in the Boat - Edition 3,21.02,4,In stock,https://books.toscrape.com/,,3
The Black Maria - Edition 3,50.06,1,In stock,https://books.toscrape.com/,,3
Starving Hearts - Edition 3,13.85,2,In stock,https://books.toscrape.com/,,3
Shakespeare's Sonnets - Edition 3,21.07,4,In stock,https://books.toscrape.com/,,3
Set Me Free - Edition 3,18.33,5,In stock,https://books.toscrape.com/,,3
Olio - Edition 3,22.21,3,Out of stock,https://books.toscrape.com/,,3
Libertarianism for Beginners - Edition 3,49.28,2,In stock,https://books.toscrape.com/,,3
It's Only the Himalayas - Edition 3,44.72,4,In stock,https://books.toscrape.com/,,3
Persuasion - Edition 3,29.01,5,In stock,https://books.toscrape.com/,,3
Emma - Edition 3,41.11,4,In stock,https://books.toscrape.com/,,3
Northanger Abbey - Edition 3,17.41,3,In stock,https://books.toscrape.com/,,3
Pride and Prejudice - Edition 3,42.82,5,In stock,https://books.toscrape.com/,,3
Sense and Sensibility - Edition 3,30.97,4,In stock,https://books.toscrape.com/,,3
A Light in the Attic - Edition 4,48.66,3,In stock,https://books.toscrape.com/,,4
Tipping the Velvet - Edition 4,52.13,1,In stock,https://books.toscrape.com/,,4
Soumission - Edition 4,50.1,1,In stock,https://books.toscrape.com/,,4
Sharp Objects - Edition 4,49.25,4,Out of stock,https://books.toscrape.com/,,4
Sapiens - Edition 4,57.48,5,In stock,https://books.toscrape.com/,,4
The Requiem Red - Edition 4,21.29,1,In stock,https://books.toscrape.com/,,4
The Coming Woman - Edition 4,17.39,3,In stock,https://books.toscrape.com/,,4
The Boys in the Boat - Edition 4,22.6,4,In stock,https://books.toscrape.com/,,4
The Black Maria - Edition 4,53.71,1,In stock,https://books.toscrape.com/,,4
Starving Hearts - Edition 4,14.83,2,In stock,https://books.toscrape.com/,,4
Shakespeare's Sonnets - Edition 4,19.42,4,In stock,https://books.toscrape.com/,,4
Set Me Free - Edition 4,250.0,5,Out of stock,https://books.toscrape.com/,,4
Olio - Edition 4,23.88,3,In stock,https://books.toscrape.com/,,4
Libertarianism for Beginners - Edition 4,52.87,2,In stock,https://books.toscrape.com/,,4
It's Only the Himalayas - Edition 4,47.88,4,In stock,https://books.toscrape.com/,,4
Persuasion - Edition 4,26.73,5,In stock,https://books.toscrape.com/,,4
Emma - Edition 4,37.98,4,In stock,https://books.toscrape.com/,,4
Northanger Abbey - Edition 4,18.72,3,In stock,https://books.toscrape.com/,,4
Pride and Prejudice - Edition 4,45.94,5,In stock,https://books.toscrape.com/,,4
Sense and Sensibility - Edition 4,33.16,4,Out of stock,https://books.toscrape.com/,,4
A Light in the Attic - Edition 5,52.29,3,In stock,https://books.toscrape.com/,,5
Tipping the Velvet - Edition 5,55.89,1,In stock,https://books.toscrape.com/,,5
Soumission - Edition 5,53.61,1,Out of stock,https://books.toscrape.com/,,5
Sharp Objects - Edition 5,45.43,4,In stock,https://books.toscrape.com/,,5
Sapiens - Edition 5,53.15,5,In stock,https://books.toscrape.com/,,5
The Requiem Red - Edition 5,22.88,1,In stock,https://books.toscrape.com/,,5
The Coming Woman - Edition 5,18.65,3,In stock,https://books.toscrape.com/,,5
The Boys in the Boat - Edition 5,24.18,4,In stock,https://books.toscrape.com/,,5
The Black Maria - Edition 5,49.54,1,,https://books.toscrape.com/,,5
Starving Hearts - Edition 5,13.71,2,In stock,https://books.toscrape.com/,,5
Shakespeare's Sonnets - Edition 5,20.87,4,Out of stock,https://books.toscrape.com/,,5
Set Me Free - Edition 5,18.16,5,In stock,https://books.toscrape.com/,,5
Olio - Edition 5,25.55,3,In stock,https://books.toscrape.com/,,5
Libertarianism for Beginners - Edition 5,48.76,2,In stock,https://books.toscrape.com/,,5
It's Only the Himalayas - Edition 5,44.27,4,In stock,https://books.toscrape.com/,,5
Persuasion - Edition 5,28.72,5,In stock,https://books.toscrape.com/,,5
Emma - Edition 5,40.72,4,In stock,https://books.toscrape.com/,,5
Northanger Abbey - Edition 5,20.03,3,In stock,https://books.toscrape.com/,,5
Pride and Prejudice - Edition 5,42.37,5,Out of stock,https://books.toscrape.com/,,5
Sense and Sensibility - Edition 5,30.65,4,In stock,https://books.toscrape.com/,,5
